Wvlgth nm,Global tilt W*m-2*nm-1
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,0.37627
345.71,-1.73405
346.09,-0.39559
346.47,1.36175
346.85,0.21519
347.23,0.04629
347.611,0.04741
347.991,0.05675
348.371,0.08699
348.751,0.09107
349.131,0.08152
349.511,0.07902
349.891,0.06655
350.27,0.06481
350.65,0.05336
351.03,0.06065
351.41,0.05978
351.79,0.06922
352.169,0.0713
352.549,0.06434
352.928,0.06772
353.308,0.05971
353.687,0.06567
354.067,0.06636
354.446,0.05437
354.826,0.07158
355.205,0.0638
355.584,0.06464
355.964,0.06407
356.343,0.0635
356.722,0.05712
357.101,0.07182
357.48,0.05855
357.859,0.05801
358.238,0.05603
358.617,0.06064
358.996,0.05746
359.375,0.06401
359.754,0.05764
360.133,0.05349
360.512,0.06028
360.891,0.04604
361.269,0.05368
361.648,0.05557
362.027,0.04921
362.405,0.04595
362.784,0.05281
363.162,0.05137
363.541,0.05552
363.919,0.05261
364.298,0.04339
364.676,0.05503
365.054,0.04401
365.433,0.04803
365.811,0.04881
366.189,0.04471
366.567,0.04309
366.945,0.0454
367.323,0.04498
367.701,0.04456
368.079,0.04309
368.457,0.0444
368.835,0.04474
369.213,0.03376
369.591,0.04238
369.969,0.0325
370.346,0.04427
370.724,0.04236
371.102,0.04594
371.479,0.03505
371.857,0.04361
372.235,0.04345
372.612,0.04789
372.99,0.03931
373.367,0.03682
373.744,0.04037
374.122,0.04139
374.499,0.04512
374.876,0.04892
375.254,0.04214
375.631,0.04302
376.008,0.04233
376.385,0.04226
376.762,0.03985
377.139,0.03902
377.516,0.03728
377.893,0.03621
378.27,0.04022
378.647,0.03939
379.024,0.04221
379.4,0.03469
379.777,0.04149
380.154,0.03458
380.53,0.03805
380.907,0.03804
381.284,0.0382
381.66,0.03776
382.037,0.02988
382.413,0.03957
382.79,0.03291
