Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10181,-2.3520499999999998
-0.081846,-2.3515499999999996
-0.061731,-2.35295
-0.041685,-2.3506
-0.021508,-2.353825
-0.0014044,-2.35275
0.018792,-2.35595
0.038451,-2.352025
0.058602,-2.351125
0.078589,-2.3501499999999997
0.098667,-2.3530249999999997
0.11873,-2.3533999999999997
0.13878,-2.355775
0.15886,-2.353725
0.17889,-2.3539
0.19899,-2.35645
0.21867,-2.350725
0.23879,-2.3568
0.25878,-2.354775
0.27894,-2.352
0.29897,-2.354125
0.3191,-2.3493
0.33911,-2.34505
0.35923,-2.33925
0.37923,-2.322075
0.39893,-2.294675
0.41893,-2.230925
0.43904,-2.115325
0.45909,-1.8869500000000001
0.47912,-1.4752
0.49918,-0.76805
0.51915,0.3155
0.53918,1.84775
0.55909,3.8432500000000003
0.57878,6.3155
0.59862,9.392
,
Sweep Time (s),Voltage Rate (V/s)
1.419424057006836,0.49315776814160955
