Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10126,-14.69625
-0.081308,-14.695749999999999
-0.061195,-14.695
-0.041111,-14.69425
-0.020966,-14.695749999999999
-0.00088593,-14.692000000000002
0.019306,-14.692000000000002
0.038981,-14.693
0.059128,-14.6945
0.079117,-14.69425
0.099225,-14.69
0.11921,-14.692499999999999
0.13931,-14.688499999999998
0.15937,-14.6845
0.17941,-14.6875
0.1995,-14.686000000000002
0.21922,-14.684750000000001
0.23931,-14.68025
0.25929,-14.677249999999999
0.27944,-14.67175
0.29946,-14.657250000000001
0.31963,-14.62725
0.33963,-14.567749999999998
0.35975,-14.460499999999998
0.37974,-14.25525
0.39942,-13.897
0.41944,-13.300749999999999
0.43948,-12.4055
0.45946,-11.18825
0.47949,-9.6495
0.49952,-7.796250000000001
0.51942,-5.6427499999999995
0.5394,-3.16825
0.55928,-0.37145
0.5789,2.78575
0.59872,6.457
,
Sweep Time (s),Voltage Rate (V/s)
1.3019628524780273,0.5376497483531801
