Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10169,-0.9188
-0.081709,-0.917475
-0.061608,-0.9188
-0.041601,-0.9211499999999999
-0.021392,-0.92085
-0.0013168,-0.9200499999999998
0.018855,-0.918475
0.038533,-0.92035
0.058669,-0.9209749999999999
0.078668,-0.9213500000000001
0.098715,-0.9197749999999999
0.1188,-0.916025
0.13883,-0.920575
0.15891,-0.9220499999999999
0.17896,-0.9202749999999998
0.19903,-0.9190749999999999
0.21875,-0.918825
0.23886,-0.9183499999999999
0.25883,-0.9184000000000001
0.27899,-0.9186499999999999
0.29899,-0.9188750000000001
0.31915,-0.918775
0.33909,-0.9147000000000001
0.3592,-0.905125
0.37922,-0.89835
0.39893,-0.874225
0.41897,-0.83185
0.43905,-0.7503249999999999
0.45909,-0.5768749999999999
0.47913,-0.2497825
0.49923,0.31937499999999996
0.51916,1.2483999999999997
0.53921,2.61775
0.55911,4.46375
0.57879,6.813999999999999
0.59861,9.78375
,
Sweep Time (s),Voltage Rate (V/s)
1.2982587814331055,0.5391837205424429
