Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10173,-0.7896750000000001
-0.081749,-0.7893499999999999
-0.06162,-0.7870250000000001
-0.041561,-0.790275
-0.021393,-0.790075
-0.0013146,-0.7889499999999999
0.01887,-0.789225
0.038562,-0.7883000000000001
0.058687,-0.7881500000000001
0.078653,-0.7893249999999999
0.09874,-0.789975
0.11878,-0.7882250000000001
0.13883,-0.7898749999999999
0.15889,-0.78975
0.17894,-0.7895249999999999
0.19901,-0.7894999999999999
0.21875,-0.790625
0.23884,-0.7903499999999999
0.25883,-0.7890000000000001
0.27898,-0.7890999999999998
0.29892,-0.79075
0.31907,-0.78575
0.33911,-0.7843249999999999
0.35922,-0.77835
0.37921,-0.76695
0.39891,-0.7482749999999999
0.41894,-0.7060249999999999
0.43903,-0.6202249999999999
0.45907,-0.453975
0.47914,-0.13554249999999998
0.49921,0.42465
0.51917,1.343275
0.5392,2.6987499999999995
0.55912,4.534999999999999
0.5788,6.87275
0.59864,9.832749999999999
,
Sweep Time (s),Voltage Rate (V/s)
1.364302396774292,0.5130827312588874
