Pixel 1,Pixel 1
Voltage,Current Density
V,mA.cm^-2
-0.10168,-1.13805
-0.081698,-1.138
-0.061604,-1.1358
-0.041549,-1.1373749999999998
-0.021375,-1.1373749999999998
-0.0012919,-1.137475
0.018895,-1.1386249999999998
0.03859,-1.138375
0.058719,-1.13755
0.078668,-1.1381999999999999
0.098775,-1.1376249999999999
0.1188,-1.136
0.13885,-1.1389999999999998
0.15893,-1.1376750000000002
0.17898,-1.1370500000000001
0.19905,-1.1363999999999999
0.21877,-1.1392999999999998
0.23886,-1.137575
0.25885,-1.136875
0.279,-1.1353749999999998
0.299,-1.13635
0.31915,-1.136375
0.33914,-1.13185
0.35926,-1.1292
0.37923,-1.115475
0.39896,-1.0886999999999998
0.41899,-1.0441
0.43908,-0.9558750000000001
0.45916,-0.7808499999999999
0.47917,-0.4463
0.49927,0.144065
0.51922,1.0884749999999999
0.53924,2.47925
0.55913,4.3475
0.57885,6.7132499999999995
0.59866,9.69475
,
Sweep Time (s),Voltage Rate (V/s)
1.2953286170959473,0.5404034086495827
