Wvlgth nm,Global tilt W*m-2*nm-1
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.5522
345.71,-0.64345
346.09,-2.19946
346.47,0.13324
346.85,0.28115
347.23,0.11721
347.611,0.05729
347.991,0.0631
348.371,0.07527
348.751,0.0572
349.131,0.06089
349.511,0.06485
349.891,0.0544
350.27,0.05186
350.65,0.03579
351.03,0.04349
351.41,0.04429
351.79,0.05004
352.169,0.04812
352.549,0.04735
352.928,0.03872
353.308,0.04175
353.687,0.04251
354.067,0.04467
354.446,0.05142
354.826,0.04602
355.205,0.04355
355.584,0.05018
355.964,0.03861
356.343,0.0424
356.722,0.04851
357.101,0.05415
357.48,0.04453
357.859,0.04214
358.238,0.04016
358.617,0.03885
358.996,0.0362
359.375,0.0336
359.754,0.03807
360.133,0.04478
360.512,0.032
360.891,0.05092
361.269,0.03503
361.648,0.03763
362.027,0.04024
362.405,0.04648
362.784,0.03387
363.162,0.03293
363.541,0.04189
363.919,0.04262
364.298,0.03466
364.676,0.03808
365.054,0.03743
365.433,0.0396
365.811,0.03103
366.189,0.03369
366.567,0.02915
366.945,0.0305
367.323,0.03476
367.701,0.03259
368.079,0.04093
368.457,0.02853
368.835,0.02646
369.213,0.02911
369.591,0.03264
369.969,0.03168
370.346,0.03367
370.724,0.02554
371.102,0.02943
371.479,0.03598
371.857,0.0349
372.235,0.02614
372.612,0.02797
372.99,0.03287
373.367,0.028
373.744,0.0289
374.122,0.02789
374.499,0.03692
374.876,0.02847
375.254,0.02713
375.631,0.02942
376.008,0.02569
376.385,0.02605
376.762,0.02868
377.139,0.03437
377.516,0.0249
377.893,0.02974
378.27,0.02686
378.647,0.02366
379.024,0.02639
379.4,0.02351
379.777,0.02516
380.154,0.02575
380.53,0.03093
380.907,0.0284
381.284,0.02902
381.66,0.02055
382.037,0.02263
382.413,0.02151
382.79,0.02384
