Wvlgth nm,Global tilt W*m-2*nm-1
339.619,0.00E+00
340,0.00E+00
340.381,0.00E+00
340.762,0.00E+00
341.143,0.00E+00
341.524,0.00E+00
341.904,0.00E+00
342.285,0.00E+00
342.666,0.00E+00
343.046,0.00E+00
343.427,0.00E+00
343.807,0.00E+00
344.188,0.00E+00
344.568,0.00E+00
344.949,0.00E+00
345.329,3.23E-01
345.71,-1.07E+00
346.09,-4.96E-01
346.47,1.40E+00
346.85,2.29E-01
347.23,1.40E-01
347.611,6.11E-02
347.991,5.16E-02
348.371,9.00E-02
348.751,6.87E-02
349.131,5.01E-02
349.511,6.03E-02
349.891,4.12E-02
350.27,4.53E-02
350.65,4.99E-02
351.03,3.60E-02
351.41,4.34E-02
351.79,5.10E-02
352.169,4.68E-02
352.549,4.72E-02
352.928,4.53E-02
353.308,5.02E-02
353.687,4.90E-02
354.067,4.78E-02
354.446,5.41E-02
354.826,4.77E-02
355.205,4.80E-02
355.584,5.04E-02
355.964,4.61E-02
356.343,4.85E-02
356.722,4.70E-02
357.101,3.95E-02
357.48,4.87E-02
357.859,4.17E-02
358.238,4.76E-02
358.617,4.00E-02
358.996,4.26E-02
359.375,4.70E-02
359.754,4.66E-02
360.133,4.50E-02
360.512,3.88E-02
360.891,4.27E-02
361.269,3.89E-02
361.648,4.12E-02
362.027,4.32E-02
362.405,3.76E-02
362.784,4.36E-02
363.162,2.96E-02
363.541,3.88E-02
363.919,4.34E-02
364.298,3.20E-02
364.676,3.54E-02
365.054,3.93E-02
365.433,2.58E-02
365.811,4.06E-02
366.189,3.17E-02
366.567,3.18E-02
366.945,3.01E-02
367.323,3.76E-02
367.701,3.86E-02
368.079,3.48E-02
368.457,2.87E-02
368.835,2.43E-02
369.213,3.49E-02
369.591,3.31E-02
369.969,2.60E-02
370.346,3.56E-02
370.724,3.05E-02
371.102,3.81E-02
371.479,2.87E-02
371.857,3.36E-02
372.235,3.10E-02
372.612,2.49E-02
372.99,2.96E-02
373.367,3.28E-02
373.744,3.17E-02
374.122,2.64E-02
374.499,2.44E-02
374.876,2.86E-02
375.254,3.22E-02
375.631,3.48E-02
376.008,3.22E-02
376.385,3.14E-02
376.762,2.91E-02
377.139,3.06E-02
377.516,3.22E-02
377.893,2.90E-02
378.27,3.06E-02
378.647,3.05E-02
379.024,2.92E-02
379.4,2.53E-02
379.777,2.36E-02
380.154,2.67E-02
380.53,2.38E-02
380.907,2.53E-02
381.284,2.62E-02
381.66,2.68E-02
382.037,2.10E-02
382.413,2.44E-02
382.79,2.30E-02
383.166,2.34E-02
383.542,2.28E-02
383.919,2.67E-02
384.295,2.70E-02
384.671,2.55E-02
385.047,2.64E-02
385.423,2.27E-02
385.799,2.39E-02
386.176,2.47E-02
386.552,2.20E-02
386.928,1.99E-02
387.303,2.53E-02
387.679,2.15E-02
388.055,1.94E-02
388.431,2.10E-02
388.807,1.77E-02
389.183,1.83E-02
389.558,2.20E-02
389.934,2.19E-02
390.309,2.15E-02
390.685,1.83E-02
391.061,2.25E-02
391.436,1.83E-02
391.811,1.86E-02
392.187,1.51E-02
392.562,2.30E-02
392.938,1.60E-02
393.313,1.94E-02
393.688,1.87E-02
394.063,1.89E-02
394.438,1.93E-02
394.814,1.89E-02
395.189,2.28E-02
395.564,1.84E-02
395.939,1.86E-02
396.314,1.69E-02
396.689,1.92E-02
397.063,1.64E-02
397.438,1.65E-02
397.813,1.72E-02
398.188,1.53E-02
398.563,1.62E-02
398.937,1.64E-02
399.312,1.52E-02
399.686,1.64E-02
400.061,1.82E-02
400.435,1.64E-02
400.81,1.64E-02
401.184,1.69E-02
401.559,1.43E-02
401.933,1.49E-02
402.307,1.42E-02
402.682,1.83E-02
403.056,1.24E-02
403.43,1.43E-02
403.804,1.73E-02
404.178,1.74E-02
404.552,1.73E-02
404.926,1.70E-02
405.3,1.48E-02
405.674,1.88E-02
406.048,1.61E-02
406.422,1.58E-02
406.796,1.63E-02
407.169,1.65E-02
407.543,1.36E-02
407.917,1.38E-02
408.291,1.57E-02
408.664,1.21E-02
409.038,1.23E-02
409.411,1.45E-02
409.785,1.35E-02
410.158,1.38E-02
410.531,1.55E-02
410.905,1.59E-02
411.278,1.36E-02
411.651,1.29E-02
412.025,1.46E-02
412.398,1.31E-02
412.771,1.59E-02
413.144,1.49E-02
413.517,1.32E-02
413.89,1.60E-02
414.263,1.17E-02
414.636,8.89E-03
415.009,1.34E-02
415.382,1.40E-02
415.755,1.10E-02
416.127,1.35E-02
416.5,1.09E-02
416.873,1.63E-02
417.245,1.31E-02
417.618,1.31E-02
417.991,1.31E-02
418.363,1.42E-02
418.736,1.49E-02
419.108,1.58E-02
419.48,1.37E-02
419.853,1.32E-02
420.225,1.24E-02
420.597,1.54E-02
420.97,1.34E-02
421.342,1.45E-02
421.714,1.28E-02
422.086,1.13E-02
422.458,1.36E-02
422.83,1.25E-02
423.202,1.15E-02
423.574,1.23E-02
423.946,1.62E-02
424.318,1.41E-02
424.69,1.31E-02
425.061,1.31E-02
425.433,1.03E-02
425.805,1.23E-02
426.177,1.44E-02
426.548,1.28E-02
426.92,1.25E-02
427.291,1.33E-02
427.663,1.24E-02
428.034,1.43E-02
428.406,1.30E-02
428.777,1.31E-02
429.148,9.99E-03
429.519,1.34E-02
429.891,1.38E-02
430.262,1.20E-02
430.633,1.38E-02
431.004,1.46E-02
431.375,1.01E-02
